run_accession	sample_accession	sample_alias	experiment_accession	experiment_title	library_name	library_layout	instrument_model
SRR18595763	SAMN27258480	OSCC81_S038	SRX14725874	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S038_L001	PAIRED	Illumina MiSeq
SRR18595766	SAMN27258477	OSCC81_S035	SRX14725868	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S035_L001	PAIRED	Illumina MiSeq
SRR18595767	SAMN27258476	OSCC81_S034	SRX14725866	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S034_L001	PAIRED	Illumina MiSeq
SRR18595769	SAMN27258474	OSCC81_S032	SRX14725862	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S032_L001	PAIRED	Illumina MiSeq
SRR18595780	SAMN27258464	OSCC81_S022	SRX14725840	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S022_L001	PAIRED	Illumina MiSeq
SRR18595781	SAMN27258463	OSCC81_S021	SRX14725838	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S021_L001	PAIRED	Illumina MiSeq
SRR18595800	SAMN27258504	OSCC81_S062	SRX14725800	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S062_L001	PAIRED	Illumina MiSeq
SRR18595802	SAMN27258502	OSCC81_S060	SRX14725796	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S060_L001	PAIRED	Illumina MiSeq
SRR18595809	SAMN27258496	OSCC81_S054	SRX14725782	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S054_L001	PAIRED	Illumina MiSeq
SRR18595810	SAMN27258495	OSCC81_S053	SRX14725780	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S053_L001	PAIRED	Illumina MiSeq
SRR18595816	SAMN27258444	OSCC81_S002	SRX14725768	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S002_L001	PAIRED	Illumina MiSeq
SRR18595817	SAMN27258443	OSCC81_S001	SRX14725766	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S001_L001	PAIRED	Illumina MiSeq
SRR18595818	SAMN27258514	OSCC81_S072	SRX14725764	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S072_L001	PAIRED	Illumina MiSeq
SRR18595823	SAMN27258510	OSCC81_S068	SRX14725754	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S068_L001	PAIRED	Illumina MiSeq
SRR18595825	SAMN27258508	OSCC81_S066	SRX14725750	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S066_L001	PAIRED	Illumina MiSeq
SRR18595828	SAMN27258505	OSCC81_S063	SRX14725744	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S063_L001	PAIRED	Illumina MiSeq
SRR18595833	SAMN27258501	OSCC81_S059	SRX14725734	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S059_L001	PAIRED	Illumina MiSeq
SRR18595835	SAMN27258499	OSCC81_S057	SRX14725730	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S057_L001	PAIRED	Illumina MiSeq
SRR18595836	SAMN27258498	OSCC81_S056	SRX14725728	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S056_L001	PAIRED	Illumina MiSeq
SRR18595837	SAMN27258497	OSCC81_S055	SRX14725726	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S055_L001	PAIRED	Illumina MiSeq
SRR18595841	SAMN27258493	OSCC81_S051	SRX14725718	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S051_L001	PAIRED	Illumina MiSeq
SRR18595842	SAMN27258448	OSCC81_S006	SRX14725716	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S006_L001	PAIRED	Illumina MiSeq
SRR18595844	SAMN27258491	OSCC81_S049	SRX14725712	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S049_L001	PAIRED	Illumina MiSeq
SRR18595845	SAMN27258490	OSCC81_S048	SRX14725710	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S048_L001	PAIRED	Illumina MiSeq
SRR18595848	SAMN27258487	OSCC81_S045	SRX14725703	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S045_L001	PAIRED	Illumina MiSeq
SRR18595692	SAMN27258457	OSCC81_S015	SRX14726015	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S015_L001	PAIRED	Illumina MiSeq
SRR18595693	SAMN27258456	OSCC81_S014	SRX14726013	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S014_L001	PAIRED	Illumina MiSeq
