genus	n_cohorts	n_DADA2_SILVA	in_sensitivity_GG	n_up	n_down	direction	direction_consistent	frac_agree	n_sig_q0.1	n_nominal_p0.05	evidence_hits	min_q	mean_abs_effect	mean_median_effect	mean_prevalence	cohort_effects
g__Propionivibrio	2	1	1	1	1	up	0	0.5	1	1	1	0.00157225	0.0934219	0.0484731	0.115	666746(SILVA*+0.142);822685(NA);813034(GG-0.0449)
g__Saccharopolyspora	2	1	1	1	1	up	0	0.5	1	1	1	0.00850208	0.0934219	0.0484731	0.1075	666746(SILVA*+0.142);822685(NA);813034(GG-0.0449)
g__Xylanibacter	2	2	0	1	1	up	0	0.5	1	1	1	0.0582566	0.0713492	0.0393998	0.1022	666746(SILVA*+0.111);822685(SILVA-0.0319);813034(NA)
g__Rubrobacter	2	1	1	1	1	up	0	0.5	1	1	1	0.0116935	0.0899054	0.0405936	0.1	666746(SILVA*+0.13);822685(NA);813034(GG-0.0493)
g__Dorea	2	1	1	1	1	up	0	0.5	1	1	1	0.00148434	0.0745523	0.0673427	0.0725	666746(SILVA*+0.142);822685(NA);813034(GG-0.00721)
g__Coprobacillus	2	1	1	1	1	up	0	0.5	1	1	1	0.000114079	0.0796618	0.0724522	0.0675	666746(SILVA*+0.152);822685(NA);813034(GG-0.00721)
g__Jeotgalicoccus	2	1	1	1	1	up	0	0.5	1	1	1	0.00157225	0.0711013	0.0638917	0.0425	666746(SILVA*+0.135);822685(NA);813034(GG-0.00721)
g__Haemophilus	3	2	1	1	2	down	0	0.666667	0	0	0	0.159095	0.34017	-0.245192	0.8752	666746(SILVA+0.142);822685(SILVA-0.196);813034(GG-0.682)
g__Porphyromonas	3	2	1	2	1	up	0	0.666667	0	0	0	0.333622	0.180027	0.086892	0.8471	666746(SILVA+0.144);822685(SILVA-0.14);813034(GG+0.256)
g__Selenomonas	3	2	1	2	1	up	0	0.666667	0	0	0	0.377363	0.294804	0.243597	0.7772	666746(SILVA+0.0889);822685(SILVA-0.0768);813034(GG+0.719)
g__Leptotrichia	3	2	1	2	1	up	0	0.666667	0	0	0	0.263973	0.116697	-0.0267408	0.6706	666746(SILVA+0.0575);822685(SILVA+0.0774);813034(GG-0.215)
g__Dialister	3	2	1	2	1	up	0	0.666667	0	0	0	0.15826	0.218369	0.212187	0.6538	666746(SILVA+0.556);822685(SILVA+0.0894);813034(GG-0.00927)
g__Mogibacterium	3	2	1	1	2	down	0	0.666667	0	0	0	0.462762	0.141731	-0.114697	0.4881	666746(SILVA+0.0406);822685(SILVA-0.114);813034(GG-0.27)
g__Acinetobacter	3	2	1	2	1	up	0	0.666667	0	0	0	0.218567	0.151672	-0.0682989	0.4633	666746(SILVA+0.0338);822685(SILVA+0.0912);813034(GG-0.33)
g__Abiotrophia	3	2	1	2	1	up	0	0.666667	0	0	0	0.223939	0.332507	-0.263136	0.4429	666746(SILVA+0.0391);822685(SILVA+0.0649);813034(GG-0.893)
g__Mycoplasma	3	2	1	2	1	up	0	0.666667	0	0	0	0.131983	0.147973	-0.0155505	0.4099	666746(SILVA+0.0823);822685(SILVA+0.116);813034(GG-0.245)
g__Actinobacillus	3	2	1	2	1	up	0	0.666667	0	0	0	0.396235	0.127233	-0.0493563	0.3155	666746(SILVA+0.0587);822685(SILVA+0.0581);813034(GG-0.265)
g__Micrococcus	2	1	1	1	1	up	0	0.5	0	0	0	0.478607	0.271063	-0.086917	0.5525	666746(SILVA+0.184);822685(NA);813034(GG-0.358)
g__Solobacterium	2	2	0	1	1	up	0	0.5	0	0	0	0.342181	0.0785353	0.0103494	0.53	666746(SILVA+0.0889);822685(SILVA-0.0682);813034(NA)
g__Kocuria	2	1	1	1	1	up	0	0.5	0	0	0	0.269742	0.312009	-0.202987	0.38	666746(SILVA+0.109);822685(NA);813034(GG-0.515)
g__Phascolarctobacterium	2	1	1	1	1	up	0	0.5	0	0	0	0.617361	0.130122	0.122912	0.3475	666746(SILVA+0.253);822685(NA);813034(GG-0.00721)
g__Defluviitaleaceae_UCG-011	2	2	0	1	1	up	0	0.5	0	0	0	0.115898	0.0767241	0.0143331	0.1754	666746(SILVA+0.0911);822685(SILVA-0.0624);813034(NA)
