genus	n_cohorts	n_DADA2_SILVA	in_sensitivity_GG	n_up	n_down	direction	direction_consistent	frac_agree	n_sig_q0.1	n_nominal_p0.05	evidence_hits	min_q	mean_abs_effect	mean_median_effect	mean_prevalence	cohort_effects	score	tier	rank
g__Aggregatibacter	3	2	1	3	0	up	1	1	0	0	0	0.523218	0.163844	0.163844	0.5693	666746(SILVA+0.0889);822685(SILVA+0.00621);813034(GG+0.396)	0.993576	A_all3_consistent	49
g__Alysiella	2	2	0	2	0	up	1	1	2	2	2	0.00323962	0.141406	0.141406	0.1125	666746(SILVA*+0.171);822685(SILVA*+0.112);813034(NA)	0.962267	C_DADA2_consistent_GGnotdetected	50
g__Fluviicola	3	2	1	3	0	up	1	1	2	2	2	8.87297e-05	0.145177	0.145177	0.0178	666746(SILVA*+0.152);822685(SILVA*+0.0746);813034(GG+0.209)	0.962147	A_all3_consistent	51
g__Bradyrhizobium	3	2	1	3	0	up	1	1	2	2	2	0.000403338	0.147178	0.147178	0.0137	666746(SILVA*+0.142);822685(SILVA*+0.0746);813034(GG+0.225)	0.948698	A_all3_consistent	52
g__Variovorax	3	2	1	3	0	up	1	1	2	1	2	8.87297e-05	0.100441	0.100441	0.0221	666746(SILVA*+0.152);822685(SILVA*+0.0746);813034(GG+0.0746)	0.948016	A_all3_consistent	53
g__Pyramidobacter	3	2	1	3	0	up	1	1	1	0	1	0.0649479	0.126829	0.126829	0.1507	666746(SILVA*+0.13);822685(SILVA+0.0746);813034(GG+0.175)	0.947841	A_all3_consistent	54
g__Mobiluncus	3	2	1	3	0	up	1	1	1	2	1.5	0.00323962	0.185135	0.185135	0.0486	666746(SILVA*+0.139);822685(SILVA+0.0649);813034(GG+0.351)	0.918165	A_all3_consistent	55
g__Eikenella	3	2	1	3	0	up	1	1	0	0	0	0.143488	0.0860677	0.0860677	0.5479	666746(SILVA+0.143);822685(SILVA+0.0891);813034(GG+0.0257)	0.917357	A_all3_consistent	56
g__Enterobacter	3	2	1	3	0	up	1	1	1	1	1	0.0605615	0.191194	0.191194	0.1085	666746(SILVA+0.133);822685(SILVA*+0.0891);813034(GG+0.351)	0.8854	A_all3_consistent	57
g__Streptobacillus	2	2	0	2	0	up	1	1	2	2	2	0.00157225	0.136266	0.136266	0.0685	666746(SILVA*+0.171);822685(SILVA*+0.101);813034(NA)	0.842521	C_DADA2_consistent_GGnotdetected	58
g__Agrobacterium	2	1	1	2	0	up	1	1	1	0	1	0.0795398	0.1081	0.1081	0.235	666746(SILVA*+0.13);822685(NA);813034(GG+0.0857)	0.838914	E_SILVA+GG_consistent	59
g__Vulcaniibacterium	2	2	0	2	0	up	1	1	2	2	2	0.0345764	0.121118	0.121118	0.0681	666746(SILVA*+0.151);822685(SILVA*+0.0912);813034(NA)	0.83279	C_DADA2_consistent_GGnotdetected	60
g__Schaalia	2	2	0	0	2	down	1	1	0	0	0	0.226949	0.317603	-0.317603	0.5867	666746(SILVA-0.558);822685(SILVA-0.077);813034(NA)	0.828803	C_DADA2_consistent_GGnotdetected	61
g__Pseudoramibacter	2	2	0	2	0	up	1	1	2	2	2	0.0176579	0.110861	0.110861	0.067	666746(SILVA*+0.13);822685(SILVA*+0.0912);813034(NA)	0.824058	C_DADA2_consistent_GGnotdetected	62
g__Shuttleworthia	2	1	1	2	0	up	1	1	1	2	1.5	0.0475671	0.206145	0.206145	0.105	666746(SILVA*+0.13);822685(NA);813034(GG+0.282)	0.819772	E_SILVA+GG_consistent	63
g__Novosphingobium	2	2	0	2	0	up	1	1	2	1	2	0.00492534	0.113357	0.113357	0.0612	666746(SILVA*+0.152);822685(SILVA*+0.0746);813034(NA)	0.810378	C_DADA2_consistent_GGnotdetected	64
g__Lachnoanaerobaculum	2	2	0	2	0	up	1	1	0	0	0	0.41777	0.119187	0.119187	0.6772	666746(SILVA+0.134);822685(SILVA+0.104);813034(NA)	0.808066	C_DADA2_consistent_GGnotdetected	65
g__Eggerthia	2	2	0	2	0	up	1	1	2	2	2	0.0188944	0.110861	0.110861	0.0593	666746(SILVA*+0.13);822685(SILVA*+0.0912);813034(NA)	0.804041	C_DADA2_consistent_GGnotdetected	66
g__Blvii28_wastewater-sludge_group	2	2	0	2	0	up	1	1	2	2	2	0.000803043	0.131816	0.131816	0.0497	666746(SILVA*+0.152);822685(SILVA*+0.112);813034(NA)	0.790389	C_DADA2_consistent_GGnotdetected	67
g__Varibaculum	2	1	1	2	0	up	1	1	1	2	1.5	0.00109547	0.28642	0.28642	0.0725	666746(SILVA*+0.152);822685(NA);813034(GG+0.421)	0.783556	E_SILVA+GG_consistent	68
g__Flavobacterium	3	2	1	3	0	up	1	1	1	1	1	0.00588081	0.0970345	0.0970345	0.0865	666746(SILVA*+0.142);822685(SILVA+0.0746);813034(GG+0.0746)	0.779736	A_all3_consistent	69
g__Erythrobacter	2	2	0	2	0	up	1	1	2	2	2	8.87297e-05	0.153785	0.153785	0.0381	666746(SILVA*+0.216);822685(SILVA*+0.0912);813034(NA)	0.77119	C_DADA2_consistent_GGnotdetected	70
g__Sneathia	3	2	1	3	0	up	1	1	1	1	1	0.00135728	0.145177	0.145177	0.0685	666746(SILVA*+0.152);822685(SILVA+0.0746);813034(GG+0.209)	0.762867	A_all3_consistent	71
