cohort	analysis_route	taxonomy	design	genus	complete_pairs	median_tumor_relabund	median_normal_relabund	median_paired_clr_effect	wilcoxon_p	bh_fdr_q
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Anaerostipes	50	0.000135585	0.000694035	-0.275291	0.0857934	0.105592
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Anaerovorax	50	0	0	0.152114	8.23756e-05	0.000391488
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Anoxybacillus	50	0.000329471	0.00749422	-2.0972	1.74968e-06	8.87297e-05
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Aquabacterium	50	0	0	0.141895	0.00594216	0.00902606
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Aquimonas	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Arachnia	50	0	0	2.36903e-05	0.194277	0.224165
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Arcobacter	50	0	0	0.141895	0.000415324	0.00132023
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Arcticibacter	50	0	0	0.152114	0.000508667	0.00151652
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Arenimonas	50	0	0	0.141895	9.46871e-05	0.000403338
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Arthrobacter	50	0	0	0.152114	4.42546e-05	0.00030346
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Asteroleplasma	50	0	0	0.141895	0.000950408	0.00174788
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Asticcacaulis	50	0	0	0.171295	4.21376e-05	0.00030346
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Aurantisolimonas	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Aureimonas	50	0	0	0.134993	0.000815605	0.00157225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Auricoccus-Abyssicoccus	50	0	0	0.134993	0.000698391	0.00157225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Azohydromonas	50	0	0	0.152114	0.000136287	0.000499371
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Azospirillum	50	0	0	0.134993	0.000726163	0.00157225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Bacillus	50	0	0.00175653	-2.36884	3.38235e-06	8.87297e-05
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Bacteriovorax	50	0	0	0.171295	9.97976e-07	8.87297e-05
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Bacteroides	50	0.00366073	0.0105146	-0.479576	0.028257	0.0377809
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Barrientosiimonas	50	0	0	0.152114	8.39809e-06	8.87297e-05
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Bergeriella	50	0	0	0.141895	0.000645726	0.00157225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Bergeyella	50	0.000305176	2.47297e-05	1.53304	0.0125682	0.0179546
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Berryella	50	0	0	0.134993	0.00177796	0.00316082
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Bifidobacterium	50	0.0041921	0.00845155	-0.527138	0.0894381	0.109796
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Bilophila	50	0	0	0.139186	0.000130296	0.000496365
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Blautia	50	0.0012525	0.0043853	-0.942391	0.0054056	0.00828974
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Blvii28_wastewater-sludge_group	50	0	0	0.152114	0.000230875	0.000803043
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Bosea	50	0	0	0.141895	0.00243994	0.00412384
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Brachybacterium	50	0	0	0.198341	0.0161853	0.0225841
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Bradyrhizobium	50	0	0	0.141895	9.9154e-05	0.000403338
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Brevibacillus	50	0	0	0.0587326	0.201035	0.230302
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Brevibacterium	50	0	0	0.139186	0.0125682	0.0179546
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Brevundimonas	50	0	9.45696e-05	-0.17782	0.105255	0.12694
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Breznakibacter	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Brooklawnia	50	0	0	0.141895	0.000415324	0.00132023
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Brucella	50	0	0	0.134993	0.000754934	0.00157225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Bulleidia	50	0	0	0.171295	0.00148465	0.00266903
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Burkholderia-Caballeronia-Paraburkholderia	50	0	0.000239186	-0.485715	0.0554657	0.0706195
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Butyribacter	50	0	0	0.134993	0.000815605	0.00157225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Butyricimonas	50	0	0	0.134993	0.000815605	0.00157225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Butyrivibrio	50	0	0	0.216347	0.000573477	0.00157225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Caldimonas	50	0	0	0.110749	0.0345308	0.0455351
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Calidithermus	50	0	0	0.141895	0.000108676	0.000417316
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Campylobacter	50	0.00640325	0.00217554	0.993259	0.0105666	0.0154164
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Candidatus_Accumulibacter	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Candidatus_Berkiella	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Candidatus_Saccharimonas	50	0	0	0.0910573	0.171914	0.200288
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Candidatus_Udaeobacter	50	0	0	0.141895	0.000508667	0.00151652
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Capnocytophaga	50	0.010054	0.0080338	0.820464	0.0483095	0.0623349
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Caproiciproducens	50	0	0	0.141895	9.04064e-05	0.00039812
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Cardiobacterium	50	0	0	0.109022	0.618594	0.648308
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Carnobacterium	50	0	0	0.134993	0.000698391	0.00157225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Castellaniella	50	0	0	0.134993	0.000698391	0.00157225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Catenibacillus	50	0	0	0.134993	0.00342753	0.00557699
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Catenibacterium	50	0	0	0.198341	3.58616e-06	8.87297e-05
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Catenisphaera	50	0	0	0.134993	0.000136287	0.000499371
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Catonella	50	0.00107533	0.000320284	0.666111	0.00911696	0.013465
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Caulobacter	50	0	0	0.134993	0.00366325	0.00588081
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Cellulomonas	50	0	0	0.147921	8.23756e-05	0.000391488
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Cellvibrio	50	0	0	0.134993	0.000596698	0.00157225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Cereibacter	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Christensenellaceae_R-7_group	50	0	0	0.152114	0.00212243	0.00367787
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Chroococcidiopsis_PCC_7203	50	0	0	0.130499	0.00445942	0.00692726
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Chroococcidiopsis_SAG_2023	50	0	0	0.152114	7.8612e-05	0.000391488
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Chryseobacterium	50	0	0	0.171295	0.00289631	0.00477742
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Chryseomicrobium	50	0	0	0.141895	0.0268486	0.0360989
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Chthonobacter	50	0	0	0.152114	5.9167e-05	0.000364105
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Cloacibacterium	50	0	0	0.152114	0.000914937	0.00168911
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Clostridium	50	0	0	0.141895	0.000620771	0.00157225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Cnuella	50	0	0	0.141895	0.0046061	0.0071091
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Cohnella	50	0	0	0.134993	0.000754934	0.00157225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Colidextribacter	50	0	0	0.139186	0.0328621	0.0436948
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Collinsella	50	0.00160974	0.00535381	-0.949622	0.00143151	0.00258318
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Comamonas	50	0	0	0.134993	0.0212237	0.0290238
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Conexibacter	50	0	0	0.141895	9.04064e-05	0.00039812
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Coprobacillus	50	0	0	0.152114	1.16456e-05	0.000114079
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Coprococcus	50	0	0	0.141895	8.63048e-05	0.00039812
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Corynebacterium	50	0.000551108	0.00215988	-0.97053	0.0166377	0.0230813
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Croceibacterium	50	0	0	0.141895	0.000671589	0.00157225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Cryptobacterium	50	0	0	0.141895	0.0012357	0.00224673
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Cupriavidus	50	0	0	0.134993	0.000815605	0.00157225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Curtobacterium	50	0	0	0.134993	0.000784737	0.00157225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Curvibacter	50	0	0	0.152114	8.23756e-05	0.000391488
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Cutibacterium	50	0.000526656	0.00186811	-0.160529	0.0648862	0.0811078
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__DEV114	50	0	0	0.134993	0.000815605	0.00157225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Daejeonella	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Dechlorobacter	50	0	0	0.152114	7.15565e-05	0.000390308
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Defluviitaleaceae_UCG-011	50	0	0	0.0910573	0.0951333	0.115898
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Deinococcus	50	0	0	0.216347	0.00884888	0.01315
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Delftia	50	0	0	0.141895	0.000488595	0.00148434
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Demequina	50	0	0	0.171295	4.52151e-06	8.87297e-05
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Dermabacter	50	0	0	0.110749	0.0140785	0.0198173
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Dermatophilus	50	0	0	0.141895	0.000645726	0.00157225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Desulfobulbus	50	0	0	0.110749	0.0345308	0.0455351
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Desulfomicrobium	50	0	0	0.134993	0.000815605	0.00157225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Desulfovibrio	50	0	0	0.152114	0.000488595	0.00148434
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Devosia	50	0	0	0.130499	0.00417845	0.00664124
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Dialister	50	0.000576229	0.000813237	0.55646	0.132961	0.158365
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Diaphorobacter	50	0	0	0.134993	0.000698391	0.00157225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Dietzia	50	0	0	0.171295	0.000155814	0.000566597
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Dolosigranulum	50	0	0	0.141895	0.000671589	0.00157225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Dorea	50	0	0	0.141895	0.000488595	0.00148434
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Dyadobacter	50	0	0	0.130499	0.00331482	0.00541194
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Effusibacillus	50	0	0	0.134993	0.000815605	0.00157225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Eggerthella	50	0	0	0.133208	0.0212237	0.0290238
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Eggerthia	50	0	0	0.130499	0.0133048	0.0188944
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Eikenella	50	4.56963e-05	0.000235748	0.143427	0.954225	0.954225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Empedobacter	50	0	0	0.141895	0.000415324	0.00132023
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Endomicrobium	50	0	0	0.141895	9.9154e-05	0.000403338
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Enhydrobacter	50	0	0	0.263593	0.204476	0.233687
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Ensifer	50	0	0	0.198341	2.19128e-05	0.000181348
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Enterobacter	50	0	0	0.133208	0.178101	0.206494
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Enterocloster	50	0	0.000452558	-0.242959	0.103166	0.12505
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Enterococcus	50	0	0	0.165269	0.00279936	0.00464946
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Ercella	50	0	0	0.152114	7.50077e-05	0.000391488
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Erysipelothrix	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Erysipelotrichaceae_UCG-006	50	0	0	0.110749	0.0805483	0.0993913
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Erysipelotrichaceae_UCG-008	50	0	0	0.139186	0.000987122	0.00180847
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Erythrobacter	50	0	0	0.216347	5.36725e-06	8.87297e-05
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Escherichia-Shigella	50	0	0	0.109022	0.211485	0.240552
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Exiguobacterium	50	0	0	0.134993	0.0620713	0.0782
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Extibacter	50	0	0	0.134993	0.00557949	0.00850208
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Ezakiella	50	0	0	0.110749	0.0122133	0.0176579
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__F0058	50	0	0	0.134993	0.0419321	0.0543984
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__F0332	50	0	0	0.0910573	0.111718	0.134398
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Faecalibacterium	50	0	0	0.110749	0.123169	0.147067
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Faecalimonas	50	0	0	0.169977	0.0693016	0.0861782
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Family_XIII_AD3011_group	50	0	0	0.141895	0.00219812	0.00379532
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Family_XIII_UCG-001	50	0	0	0.185186	0.0161853	0.0225841
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Fannyhessea	50	0	0	0.141895	0.000450602	0.00140447
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Fastidiosipila	50	0	0	0.152114	0.000398648	0.00130171
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Fenollaria	50	0	0	0.141895	0.000415324	0.00132023
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Fermentibacillus	50	0	0	0.141895	0.000108676	0.000417316
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Ferruginibacter	50	0	0	0.141895	9.04064e-05	0.00039812
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Fibrella	50	0	0	0.134993	0.000784737	0.00157225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Filifactor	50	0	0	0.250486	7.15565e-05	0.000390308
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Finegoldia	50	0	0	0.0910573	0.0390155	0.0507519
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Flaviaestuariibacter	50	0	0	0.130499	0.0043169	0.00677161
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Flavihumibacter	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Flavimobilis	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Flavisolibacter	50	0	0	0.134993	0.0011051	0.00201692
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Flavobacterium	50	0	0	0.141895	0.00366325	0.00588081
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Flavonifractor	50	0	0	0.152114	0.0593562	0.0751741
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Flexilinea	50	0	0	0.130499	0.0320535	0.042738
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Fluviicola	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Fretibacterium	50	0	0	0.119436	0.0506052	0.0649479
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Fuscovulum	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Fusicatenibacter	50	0	0.000434868	-1.24727	0.178101	0.206494
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Fusobacterium	50	0.0468905	0.018395	0.298553	0.11394	0.136387
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Gardnerella	50	0	0	0.141895	0.000698391	0.00157225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Gemella	50	0.0148613	0.0142453	0.0216863	0.931384	0.935281
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Gemmata	50	0	0	0.152114	4.42546e-05	0.00030346
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Gemmatimonas	50	0	0	0.152114	1.97602e-05	0.000166401
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Gemmiger	50	0	0	0.134993	0.000847571	0.00157688
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Gemmobacter	50	0	0	0.141895	0.00261412	0.00440274
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Geobacillus	50	0	0	0.130499	0.103166	0.12505
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Georgenia	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Glutamicibacter	50	0	0	0.141895	0.000671589	0.00157225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Gordonia	50	0	0	0.141895	0.000170228	0.000609771
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Gordonibacter	50	0	0	0.134993	0.00289631	0.00477742
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Granulicatella	50	0.00350808	0.00746273	-0.472995	0.140684	0.165917
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__HN-HF0106	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Haemophilus	50	0.0187811	0.0214213	0.142467	0.730448	0.754011
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Halobacillus	50	0	0	0.134993	0.000754934	0.00157225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Halomonas	50	0	0	0.0910573	0.0362699	0.0475671
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Haoranjiania	50	0	0	0.152114	1.68966e-05	0.000155969
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Hassallia	50	0	0	0.141895	0.000671589	0.00157225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Herbaspirillum	50	0	0	0.141895	0.000285701	0.000986592
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Holdemanella	50	0	0	0.152114	4.42546e-05	0.00030346
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Hornefia	50	0	0	0.216347	0.000221142	0.000774805
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Howardella	50	0	0	0.198341	1.60312e-05	0.000150882
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Hoylesella	50	0.00194223	0.00259967	0.069196	0.659698	0.686887
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Hungatella	50	0	0	0.130499	0.0136869	0.0193227
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Hydrogenophaga	50	0	0	0.171295	4.01146e-05	0.000296231
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Hymenobacter	50	0	0	0.134993	0.000815605	0.00157225
