genus	SRR12750669	SRR12750670	SRR12750671	SRR12750672	SRR12750673	SRR12750674	SRR12750675	SRR12750676	SRR12750677	SRR12750678	SRR12750679	SRR12750680	SRR12750681	SRR12750682	SRR12750683	SRR12750684	SRR12750685	SRR12750686	SRR12750687	SRR12750688	SRR12750689	SRR12750690	SRR12750691	SRR12750692	SRR12750693	SRR12750694	SRR12750695	SRR12750696	SRR12750697	SRR12750698	SRR12750699	SRR12750700	SRR12750701	SRR12750702	SRR12750703	SRR12750704	SRR12750705	SRR12750706	SRR12750707	SRR12750708	SRR12750709	SRR12750710	SRR12750711	SRR12750712	SRR12750713	SRR12750714	SRR12750715	SRR12750716	SRR12750717	SRR12750718	SRR12750719	SRR12750720	SRR12750721	SRR12750722	SRR12750723	SRR12750724	SRR12750725	SRR12750726	SRR12750727	SRR12750728	SRR12750729	SRR12750730	SRR12750731	SRR12750732	SRR12750733	SRR12750734	SRR12750735	SRR12750736	SRR12750737	SRR12750738	SRR12750739	SRR12750740	SRR12750741	SRR12750742	SRR12750743	SRR12750744	SRR12750745	SRR12750746	SRR12750747	SRR12750748	SRR12750749	SRR12750750	SRR12750751	SRR12750752	SRR12750753	SRR12750754	SRR12750755	SRR12750756	SRR12750757	SRR12750758	SRR12750759	SRR12750760	SRR12750761	SRR12750762	SRR12750763	SRR12750764	SRR12750765	SRR12750766	SRR12750767	SRR12750768
g__Ahniella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0010154044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Alcaligenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00042058777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Algoriphagus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00012382981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Alishewanella	0	0	0	0	0	0	0	0	0	0	7.8550482e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00054485116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00089044145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00019760242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00016803428	0	0	0	0	0	0	0	0	0	0	0
g__Alistipes	0	0.00053900776	0.0002092415	0.0037341094	0.00011322977	0.00017978682	0.00032795374	0	0	0	0.00015710096	0	0.00016330085	0	0.00012000192	0.00068078669	0	0	0	0	0	0	0	0	0	6.7602587e-05	0.0033090171	6.8541662e-05	0	0	0	0	0.00086680866	0	0.00010772612	0	0	0	0.00023696682	0.00022349936	0.0036167886	0	0	0	0.00064446831	0.0018535681	0	0.0023630946	0	0	0	0	0	0	0.00019616016	0	0	0	0	0	0.0030109812	0.00067861308	0	0	0	0.0001279497	0	0	0	0	0	0	0	0	0	0	0.0019303032	0.00023620001	0	0	0	0	0	0.00042165182	0	0	0.00012770984	0	0	0	0.0014249214	0	0.00073802755	0.0030948697	0.0014768112	0	0	0	0.00062152013	0
g__Alkanindiges	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00024000384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0061667245	0	0	0	0	0	0	0	0	0	0	0.0011515612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Allisonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00030163313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Alloiococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00095219425	0	0	0	0	0	0	0	0	0	0	0
g__Alloprevotella	0	0.00072648872	0	0	0.001449341	0.00038525748	0.00039699663	0.0019688852	0.002856704	0	0.0004451194	0.013568787	0	0	0	0	0.00013368984	0.069522657	0.0022254775	0.0018442967	0	0.00040146823	0.023565184	0.0017866502	0.00017494752	0.011943124	0	0.00057118052	0	0.060223321	0	0	0.0026747239	0.00042587171	0	0.00015918075	0.0010564811	0	0.00020734597	0	0	0	0.00043416238	0.0017796854	0	0	0.0004219918	0	0	0	0	0.0033982729	0.00076667519	0	0	0	0.00092548588	0.0014094938	0.014874794	0	0.0074093754	0.0049623582	0	0	0	0	0	0.040441496	0	8.2882086e-05	0.0022222222	0.00010956803	0.0025129658	0	0	0	0.0010809698	0	0	0.0078692494	0.0024688183	0.00083155761	0.0066602713	0.002977916	0.0011906967	0.0093098521	0.014431212	0	0	0.0017979874	0	7.8125e-05	0.02009075	0.013182954	0.00073840561	0.0052778272	0.0039895756	8.2356494e-05	0.010073806	0
g__Alloscardovia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0029294454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00029989504	0	0	0.00069981974	0	0	0	0	0	0	0	0	0	0	0	0.0015149519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
