genus	complete_pairs	median_tumor_relabund	median_normal_relabund	median_paired_clr_effect	wilcoxon_p	bh_fdr_q
g__Saccharofermentans	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Saccharopolyspora	50	0	0	0.141895	0.00557949	0.00850208
g__Salinicoccus	50	0	0	0.141895	0.000108676	0.000417316
g__Scardovia	50	0	0	0.152114	0.15714	0.183969
g__Schaalia	50	0.00238147	0.00507949	-0.558223	0.197635	0.226949
g__Schinkia	50	0	0	0.141895	0.00235681	0.00401159
g__Sediminibacterium	50	0	0	0.134993	0.000815605	0.00157225
g__Segatella	50	0.00414864	0.00608858	0.0839104	0.639009	0.668245
g__Selenomonas	50	0.0042031	0.00455258	0.0888846	0.598463	0.629961
g__Senegalimassilia	50	0	0	0.240471	0.0517862	0.0662864
g__Serinicoccus	50	0	0	0.130499	0.0043169	0.00677161
g__Serratia	50	0.0185393	0.0748346	-1.38543	2.00396e-07	5.15977e-05
g__Shewanella	50	0	0	0.141895	0.000698391	0.00157225
g__Shinella	50	0	0	0.141895	0.000671589	0.00157225
g__Shuttleworthia	50	0	0	0.130499	0.0362699	0.0475671
g__Skermanella	50	0	0	0.134993	0.00227623	0.0039021
g__Slackia	50	0	0	0.225526	0.000469247	0.00145315
g__Sneathia	50	0	0	0.152114	0.000432634	0.00135728
g__Solitalea	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Solobacterium	50	0.000462956	0.000225103	0.0888846	0.313666	0.342181
g__Sphaerochaeta	50	0	0	0.130499	0.00417845	0.00664124
g__Sphingobacterium	50	0	0	0.141895	0.000551083	0.00156521
g__Sphingobium	50	0	0	0.134993	0.0125682	0.0179546
g__Sphingomonas	50	0	0	0.108577	0.723259	0.748199
g__Staphylococcus	50	0.00040996	0.001105	-1.11769	0.026167	0.0353807
g__Stenotrophomonas	50	0	0	0.0687781	0.46061	0.491318
g__Stomatobaculum	50	0	0	0.119436	0.299955	0.328717
g__Streptobacillus	50	0	0	0.171295	0.000784737	0.00157225
g__Streptococcus	50	0.0773818	0.120072	-0.230092	0.222315	0.251085
g__Succiniclasticum	50	0	0	0.134993	0.000671589	0.00157225
g__Succinivibrio	50	0	0	0.102456	0.781393	0.801429
g__Sutterella	50	0.000213036	0.000773009	-0.34878	0.143333	0.168214
g__TM7a	50	0	0	0.152114	0.000211787	0.000747484
g__TM7x	50	0	0	0.0341317	0.257124	0.287022
g__Tannerella	50	0	0	0.185186	0.0542162	0.0692121
g__Tautonia	50	0	0	0.141895	8.23756e-05	0.000391488
g__Tepidicella	50	0	0	0.141895	9.04064e-05	0.00039812
g__Terrimonas	50	0	0	0.141895	0.000573477	0.00157225
g__Tessaracoccus	50	0	0	0.141895	7.15565e-05	0.000390308
g__Tetrasphaera	50	0	0	0.141895	0.000103814	0.000411826
g__Thauera	50	0	0	0.152114	0.000382585	0.00126649
g__Thermomonas	50	0	0	0.152114	0.000398648	0.00130171
g__Thermus	50	0	0	0.134993	0.000698391	0.00157225
g__Thioclava	50	0	0	0.134993	0.000671589	0.00157225
g__Thomasclavelia	50	0	0	0.130499	0.00911696	0.013465
g__Treponema	50	0	0.000107746	0.152114	0.261209	0.290905
g__Truepera	50	0	0	0.134993	0.000815605	0.00157225
g__Tsuneonella	50	0	0	0.134993	0.000754934	0.00157225
g__Tumebacillus	50	0	0	0.134993	0.000754934	0.00157225
g__Tyzzerella	50	0	0	0.0827636	0.840754	0.856819
g__UBA12409	50	0	0	0.134993	0.000847571	0.00157688
g__UCG-002	50	0	0	0.152114	0.000352222	0.00118228
g__UCG-003	50	0	0	0.141895	9.9154e-05	0.000403338
g__UCG-004	50	0	0	0.134993	0.000620771	0.00157225
g__UCG-005	50	0	0	0.141895	0.00190921	0.00334459
g__Uliginosibacterium	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Ureaplasma	50	0	0	0.141895	9.04064e-05	0.00039812
g__Vampirovibrio	50	0	0	0.152114	5.9167e-05	0.000364105
g__Varibaculum	50	0	0	0.152114	0.000324077	0.00109547
g__Variovorax	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Veillonella	50	0.00950252	0.0154802	-0.275388	0.0951333	0.115898
g__Verruc-01	50	0	0	0.134993	0.000847571	0.00157688
g__Verticiella	50	0	0	0.141895	0.000508667	0.00151652
g__Vibrio	50	0	0	0.141895	0.000529488	0.00154972
g__Vulcaniibacterium	50	0	0	0.151012	0.0255001	0.0345764
g__W5053	50	0	0	0.141895	0.00760945	0.0113786
g__Weissella	50	0	0	0.152114	4.87871e-05	0.000329828
g__Xanthobacter	50	0	0	0.141895	0.000529488	0.00154972
g__Xylanibacter	50	0	0	0.110749	0.0450275	0.0582566
g__Zoogloea	50	0	0	0.141895	0.000103814	0.000411826
g__[Clostridium]_innocuum_group	50	0	0	0.152114	0.0016549	0.00295297
g__[Eubacterium]_brachy_group	50	0	0	0.0910573	0.211485	0.240552
g__[Eubacterium]_eligens_group	50	0	0.000234874	-0.104243	0.291035	0.321142
g__[Eubacterium]_saphenum_group	50	0	0	0.0888846	0.105255	0.12694
g__[Eubacterium]_sulci_group	50	0	0	0.0823185	0.694746	0.721814
g__[Eubacterium]_xylanophilum_group	50	0	0	0.141895	0.000645726	0.00157225
g__[Eubacterium]_yurii_group	50	0	0	0.139186	0.0567387	0.0720491
g__[Polyangium]_brachysporum_group	50	0	0	0.134993	0.000815605	0.00157225
g__[Ruminococcus]_gnavus_group	50	0	0	0.110749	0.299955	0.328717
