run_accession	sample_accession	sample_alias	experiment_accession	experiment_title	library_name	scientific_name	library_layout	instrument_model	fastq_ftp	fastq_md5
SRR18236781	SAMN26448882	Human tumor tissue	SRX14378162	Illumina HiSeq 2500 sequencing: T1_Stage Tumor tissue_14	B14	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/081/SRR18236781/SRR18236781_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/081/SRR18236781/SRR18236781_2.fastq.gz	2ef606254f67ad03d249643f59606478;8421a2d1e4af2dafc95dff553b4c72c4
SRR18236785	SAMN26448882	Human tumor tissue	SRX14378158	Illumina HiSeq 2500 sequencing: Tissue adjacent to a tumor from T1_stage_sample_3	A3	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/085/SRR18236785/SRR18236785_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/085/SRR18236785/SRR18236785_2.fastq.gz	5d57c7971b769aadb388dd29af606bb0;7cceee90b06de312ffaad29ccb526da7
SRR18236787	SAMN26448882	Human tumor tissue	SRX14378156	Illumina HiSeq 2500 sequencing: T1_Stage Tumor tissue_9	B9	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/087/SRR18236787/SRR18236787_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/087/SRR18236787/SRR18236787_2.fastq.gz	f3bbd221dad5e2ee7cc1437585ec5155;32a9ae29e04cc297d1bc6e394bfefbea
SRR18236789	SAMN26448882	Human tumor tissue	SRX14378154	Illumina HiSeq 2500 sequencing: T1_Stage Tumor tissue_7	B7	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/089/SRR18236789/SRR18236789_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/089/SRR18236789/SRR18236789_2.fastq.gz	a41a2d10652784be5e444de6887af16d;8618dfb5243a1fa2e6f0ff1d57fe9ae7
SRR18236790	SAMN26448882	Human tumor tissue	SRX14378153	Illumina HiSeq 2500 sequencing: T1_Stage Tumor tissue_6	B6	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/090/SRR18236790/SRR18236790_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/090/SRR18236790/SRR18236790_2.fastq.gz	d3bb3715400a7d4cf1c1ba6a16964eb4;b21b9b166962f0d6aede452f84246544
SRR18236791	SAMN26448882	Human tumor tissue	SRX14378152	Illumina HiSeq 2500 sequencing: T1_Stage Tumor tissue_5	B5	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/091/SRR18236791/SRR18236791_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/091/SRR18236791/SRR18236791_2.fastq.gz	4961a06a8bee5a82777705d676748ad3;f11ecb05799fb80d853f3de8d4dd14af
SRR18236794	SAMN26448882	Human tumor tissue	SRX14378149	Illumina HiSeq 2500 sequencing: T1_Stage Tumor tissue_2	B2	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/094/SRR18236794/SRR18236794_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/094/SRR18236794/SRR18236794_2.fastq.gz	d6f0a199a23f1ae898a69e790a56edff;b4c5b729ff296108fa11e7e9a3cb607c
SRR18236795	SAMN26448882	Human tumor tissue	SRX14378148	Illumina HiSeq 2500 sequencing: T1_Stage Tumor tissue_1	B1	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/095/SRR18236795/SRR18236795_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/095/SRR18236795/SRR18236795_2.fastq.gz	2ab0fc70f9a9554f0549d4a652ae038f;afb30668de9b11efd9cad867a4756217
SRR18236703	SAMN26448882	Human tumor tissue	SRX14378240	Illumina HiSeq 2500 sequencing: Precancer_15	P15	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/003/SRR18236703/SRR18236703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/003/SRR18236703/SRR18236703_2.fastq.gz	04adccfa8f81529fa4372942358bfe66;1c35f7d417b88daa15cf0f5dc028491e
SRR18236704	SAMN26448882	Human tumor tissue	SRX14378239	Illumina HiSeq 2500 sequencing: Precancer_14	P14	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/004/SRR18236704/SRR18236704_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/004/SRR18236704/SRR18236704_2.fastq.gz	e65f27f7ffd6bdc847d25cc3dfd32cf5;e9a602ad0a88d718e8e29e7ea806babc
