genus	SRR18236708	SRR18236719	SRR18236725	SRR18236726	SRR18236727	SRR18236728	SRR18236729	SRR18236730	SRR18236731	SRR18236734	SRR18236735	SRR18236736	SRR18236737	SRR18236738	SRR18236739	SRR18236740	SRR18236741	SRR18236742	SRR18236743	SRR18236744	SRR18236745	SRR18236746	SRR18236752	SRR18236763	SRR18236774	SRR18236785	SRR18236786	SRR18236787	SRR18236788	SRR18236789	SRR18236790	SRR18236791	SRR18236792	SRR18236793	SRR18236794	SRR18236795	SRR18236796	SRR18236797	SRR18236732	SRR18236733
g__Vibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.808351e-05	0	0	0	1.3031523e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Virgisporangium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.808351e-05	0	0	1.8228217e-05	0	0	0	0	0	0	0	0	0	0	0	1.271472e-05	1.9618229e-05	0	0	0
g__Vogesella	0	0	0	0	0	0	0	0	0	0	1.1664392e-05	0	0	0	0	0	0	0	0	0	5.4250529e-05	0	0.00013836453	3.6456435e-05	0	0	0	0	0	0	1.9784351e-05	0	0	1.3646847e-05	0	0	1.9618229e-05	0	0	0
g__WAL_1855D	0.00010570545	0	0	0	0	4.0945011e-05	2.7824538e-05	0	0	0	0	0	0	0	0	9.1566706e-05	0	0	0	0	1.808351e-05	0	0	0	0	0	1.4452956e-05	0	0	0	0	0	0	1.3646847e-05	0	0	0	0	0	0
g__Xylanimicrobium	0	0.00025926886	1.5906343e-05	0	0	0	0	1.4972301e-05	0	0	0	0	0	0	0	3.0522235e-05	0	1.3463843e-05	0	5.5306676e-05	0.00016275159	0	1.9766362e-05	0	0	0	0	0	0.00017732068	0	5.9353052e-05	0	0	2.7293694e-05	1.5662934e-05	0.00010171776	5.8854688e-05	0	0	0
g__Zoogloea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5261118e-05	0	0	0	0	7.2334039e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__[Eubacterium]	0	8.6422954e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0052776185	0.0049033904	0	0.0022993275	0	0.00025012506	0	0	0.0057968147	0	0	0	0	0	0.004276774	0	0	0
g__[Prevotella]	0.00060780635	0.0015556132	0.017481071	0.012670108	0.0069916784	0.0031527658	0.00029215765	0.008549184	0.00018158487	2.3314915e-05	0	0	0.00039763982	0.0052321051	8.8146111e-05	0.0065622806	0.0080565147	0.0090342386	0.022811605	0.0016038936	0.00034358668	0	0.0021742998	0.0021509296	0.0028669351	0.00088169701	0.00027460616	0.0024330347	0.0081567515	0.020419487	0.0016618854	0.002081023	0.00075931455	0.0010235135	0.049291252	0.003356686	0.0038255547	0.026516117	0.0081300813	0
g__[Ruminococcus]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00047439268	0.0011119213	0	0.00034576353	0	0	0	0	0.00089029578	0	0	0	0	0	0.00086320209	0	0	0
g__ph2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.4684652e-05	0	3.4576353e-05	0	0	0	0	1.9784351e-05	0.0012048028	0	2.7293694e-05	0	0	0	0	0	0
