genus	SRR18236708	SRR18236719	SRR18236725	SRR18236726	SRR18236727	SRR18236728	SRR18236729	SRR18236730	SRR18236731	SRR18236734	SRR18236735	SRR18236736	SRR18236737	SRR18236738	SRR18236739	SRR18236740	SRR18236741	SRR18236742	SRR18236743	SRR18236744	SRR18236745	SRR18236746	SRR18236752	SRR18236763	SRR18236774	SRR18236785	SRR18236786	SRR18236787	SRR18236788	SRR18236789	SRR18236790	SRR18236791	SRR18236792	SRR18236793	SRR18236794	SRR18236795	SRR18236796	SRR18236797	SRR18236732	SRR18236733
g__Slackia	12	7	0	16	5	8	1	2	6	0	0	0	15	5	0	7	15	33	0	2	0	0	1	14	0	0	1	13	0	16	1	19	2	5	38	1	2	0	0	0
g__Sneathia	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
g__Sphaerochaeta	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Sphingobacterium	0	1	0	0	0	0	0	0	1	0	0	0	7	0	3	0	0	1	0	0	0	0	0	1	0	1	0	0	6	0	0	0	0	0	0	0	0	1	0	0
g__Sphingobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
g__Sphingomonas	0	7	0	1	5	6	0	7	0	3	0	0	5	0	385	1	0	2	2	13	41	0	9	5	0	3	0	4	41	0	7	0	3	6	0	15	15	0	1	0
g__Sphingopyxis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Spirosoma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
g__Staphylococcus	3	46	6	69	7820	18936	6	16	3	6	1	0	63	74	483	12	3	19	6	41	328	0	64	68	6	52	0	8	47	2	49	3	16	6	2	7	140	14	0	0
g__Stenotrophomonas	0	16	0	0	0	2	0	1	0	0	0	0	1	0	0	1	0	0	0	23	118	0	3	14	0	0	0	0	4	0	0	0	169	0	0	2	17	1	0	0
g__Streptococcus	3435	2033	18595	264	478	2786	52	8892	975	43	62	10	2662	4445	264	23701	14162	7983	11633	12983	2465	128	2778	3303	15557	2134	147	2742	1418	253	2644	2986	5440	934	11065	16471	3574	10473	2	0
g__Streptomyces	5	29	0	1	1	0	0	2	0	0	0	0	0	0	336	0	0	0	0	30	204	0	1	6	1	1	0	0	0	0	0	0	0	0	0	0	31	0	0	0
g__Sulfuricurvum	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	1	0	0
g__Sutterella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	153	0	53	0	0	0	0	157	0	0	0	0	0	102	0	0	0
g__TG5	119	42	0	1	11	194	59	444	0	0	0	0	230	8	16	273	0	2	0	2	1	0	25	17	0	11	120	449	3	0	14	24	4	9	48	3	13	0	0	0
g__Tannerella	670	2	0	6	0	57	2	37	0	0	5	0	5	11	0	9	0	9	7	2	31	1	9	35	0	45	923	51	2	0	15	360	1	22	9	45	10	2	0	0
g__Tepidimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Thermicanus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
g__Thermus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	2	0	0	0	2	0	0	0	0	1	2	0	0	0
g__Treponema	1679	75	1	49	633	871	5740	2194	37607	0	3	0	202	956	6	561	4	1759	17	53	840	0	387	577	0	227	16206	1542	28	12	418	622	19	136	1123	83	497	6	0	0
g__Trichococcus	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	6	0	0	0	0	0	0
g__Trueperella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
g__Turicibacter	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Vagococcus	0	1	5	0	0	0	0	4	0	0	0	0	0	0	0	6	1	0	6	8	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0
g__Varibaculum	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0
g__Variovorax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Veillonella	70	200	18	124	3	5	2	78	0	2	5	0	11	0	9	378	11421	5349	5236	65	402	1	71	263	1273	49	1	54	31	83	85	308	4	36	71	35	112	5548	0	1
g__Vibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Virgisporangium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
g__Vogesella	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	7	2	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0
g__WAL_1855D	8	0	0	0	0	3	2	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
g__Xylanimicrobium	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	3	9	0	1	0	0	0	0	0	2	0	3	0	0	2	1	8	3	0	0	0
g__Zoogloea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__[Eubacterium]	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	269	0	133	0	11	0	0	293	0	0	0	0	0	218	0	0	0
g__[Prevotella]	46	18	1099	999	552	231	21	571	15	1	0	0	31	423	5	430	609	671	1457	87	19	0	110	118	220	51	19	107	92	1656	84	152	44	75	3147	264	195	2184	1	0
g__[Ruminococcus]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	61	0	20	0	0	0	0	45	0	0	0	0	0	44	0	0	0
g__ph2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	1	88	0	2	0	0	0	0	0	0
